"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
4,1,"Via Silvestro Centofanti","tertiary",0,"43.7189284,10.4122208","43.7200957,10.4118406",135.941,135,26,19,"day"
5,2,"Via Giuseppe Garibaldi","tertiary",0,"43.7183882,10.4185568","43.7155623,10.4126274",581.647,580,27,77,"day"
6,3,"Via Pietro Nenni","secondary",0,"43.7149728,10.4214977","43.7114958,10.4206545",392.253,393,24,58,"day"
7,4,"Via Pietro Nenni","secondary",0,"43.7110589,10.420667","43.7149592,10.4216014",439.854,435,15,106,"day"
8,5,"Via Vittorio Veneto","secondary",0,"43.7241501,10.4085276","43.7201804,10.4116774",534.985,532,14,138,"day"
9,6,"Largo Concetto Marchesi","residential",0,"43.7147767,10.4154706","43.7150268,10.4185764",255.747,251,24,38,"day"
10,7,"Lungarno Bruno Buozzi","tertiary",0,"43.7139021,10.4085214","43.7129728,10.4094426",129.87,130,26,18,"day"
11,8,"Via Vincenzo Gioberti","residential",0,"43.7130444,10.4140899","43.7155623,10.4126274",313.045,315,22,51,"day"
12,9,"Via Lucchese","tertiary",0,"43.7248799,10.4086442","43.7256677,10.4040832",381.417,382,26,53,"day"
13,10,"Via Alessandro Volpi","secondary",0,"43.7194316,10.4203089","43.7205039,10.4215927",158.606,159,15,38,"day"
19,16,"Via Mahatma Gandhi","unclassified",0,"43.7233343,10.4156571","43.7246497,10.4160267",153.622,152,39,14,"day"
17,14,"Via Gino Luzzato","secondary_dual_lane",0,"43.7185349,10.4195966","43.7149728,10.4214977",468.418,469,6,269,"day"
18,15,"Via Gino Luzzato","secondary_dual_lane",0,"43.7149592,10.4216014","43.7189215,10.4201363",485.202,484,32,54,"day"
21,18,"Largo San Zeno","secondary",0,"43.7241392,10.4074209","43.723718,10.4079327",62.845,67,24,10,"day"
22,19,"Largo San Zeno","secondary",0,"43.7238522,10.4081109","43.7243786,10.4083981",62.899,65,8,28,"day"
24,21,"Via Enrico Betti","residential",0,"43.71468606,10.4147375","43.7147767,10.4154706",59.941,61,24,9,"day"
25,22,"Via San Francesco","tertiary",0,"43.7187854,10.4104574","43.7185484,10.407387",248.841,250,22,41,"day"
28,25,"Via Edmondo De Amicis","tertiary",0,"43.7167983,10.4086851","43.7187854,10.4104574",264.892,266,23,42,"day"
29,26,"Via Filippo Buonarroti","tertiary",0,"43.719991,10.4073511","43.7227183,10.406856",313.618,315,28,41,"day"
30,27,"Via Filippo Buonarroti","tertiary",0,"43.7185484,10.407387","43.7194857,10.4073934",104.155,104,29,13,"day"
31,28,"Piazza Bartolo da Sassoferrato","residential",0,"43.7137633,10.4148855","43.7142393,10.4148417",54.474,56,20,10,"day"
32,29,"Via Angelo Battelli","tertiary",0,"43.7190161,10.4107341","43.7187854,10.4104574",34.13,33,10,12,"day"
33,30,"Via Angelo Battelli","tertiary",0,"43.7201097,10.4116481","43.7190161,10.4107341",142.38,141,13,40,"day"
34,31,"Via Angelo Battelli","tertiary",0,"43.7190161,10.4107341","43.7188246,10.4108639",29.421,30,15,7,"day"
36,33,"Ponte della Fortezza","tertiary",0,"43.7131101,10.4078224","43.7139021,10.4085214",104.556,106,7,55,"day"
37,34,"Via Manara Valgimigli","tertiary",0,"43.7148018,10.4228048","43.7150810, 10.4187141",231.876,329,17,70,"day"
38,35,"Via San Giovanni Bosco","tertiary",0,"43.7187854,10.4104574","43.7189213,10.4192172",736.227,737,25,108,"day"
39,36,"Via Angelo Battelli","residential",0,"43.7203783,10.4119035","43.7228517,10.413959",321.072,321,20,57,"day"
40,37,"Via Giuseppe Moruzzi","secondary",0,"43.719849,10.4232674","43.720509,10.42203",123.775,124,6,74,"day"
42,39,"Via del Giardino","tertiary",0,"43.7165645,10.4074882","43.7167983,10.4086851",99.891,100,13,28,"day"
43,40,"Via Santa Marta","tertiary",0,"43.7147755,10.4089727","43.7139021,10.4085214",104.232,114,18,23,"day"
44,41,"Via Santa Marta","tertiary",0,"43.7147755,10.4089727","43.7167974,10.4088015",231.275,228,20,41,"day"
45,42,"Lungarno Mediceo","tertiary",0,"43.7162818,10.4021489","43.7139021,10.4085214",579.583,582,21,98,"day"
46,43,"Via Baldo degli Ubaldi","residential",0,"43.7142393,10.4148417","43.71468721,10.41473408",50.516,48,22,8,"day"
47,44,"Via Renato Falconcini","residential",0,"43.7128677,10.4148689","43.7137633,10.4148855",99.516,101,18,20,"day"
48,45,"Via Alberto Paparelli","secondary",0,"43.723107,10.4150306","43.7244612,10.4099984",432.512,428,22,69,"day"
49,46,"Via San Zeno","tertiary",0,"43.7227183,10.406856","43.7235612,10.4078944",125.653,123,17,26,"day"
51,48,"Largo Bruno Pontecorvo","tertiary",0,"43.7194857,10.4073934","43.719991,10.4073511",56.289,57,29,7,"day"
52,49,"Via Provinciale Calcesana","secondary",0,"43.7211904,10.4225777","43.7207631,10.4217716",80.794,82,9,33,"day"
53,50,"Via Provinciale Calcesana","secondary",0,"43.7211904,10.4225777","43.7207502,10.4218438",77.37,77,9,31,"day"
54,51,"Via Provinciale Calcesana","secondary",0,"43.7214824,10.4230627","43.7211904,10.4225777",50.889,52,10,19,"day"
57,54,"Via del Brennero","primary",0,"43.7244051,10.4084819","43.7231936,10.4033686",433.496,432,35,44,"day"
58,55,"Via del Brennero","primary",0,"43.7247798,10.409756","43.7282595,10.4170385",712.303,711,49,52,"day"
64,61,"Via di Pratale","secondary",0,"43.7207559,10.4213933","43.7207928,10.4212975",8.741,8,29,1,"day"
65,62,"Via di Pratale","tertiary",0,"43.7224377,10.4154385","43.7241501,10.4085276",612.211,607,19,116,"day"
67,64,"Via di Pratale","tertiary",0,"43.7223211,10.4158478","43.7224377,10.4154385",35.436,33,20,6,"day"
69,66,"Via di Pratale","secondary",0,"43.7207928,10.4212975","43.7223211,10.4158478",470.947,472,31,54,"day"
71,68,"Via Pasquale Landi","residential",0,"43.71374469,10.4149109","43.7130799,10.4162781",138.311,131,17,27,"day"
72,69,"Via Giovanni Di Simone","tertiary",0,"43.7185484,10.407387","43.7165645,10.4074882",228.077,229,20,42,"day"
73,70,"Via Giuseppe Garibaldi","tertiary",0,"43.7155623,10.4126274","43.7147755,10.4089727",307.537,307,17,64,"day"
75,72,"Via Lucchese","tertiary",0,"43.7256677,10.4040832","43.7248799,10.4086442",381.417,382,23,60,"day"
76,73,"Via del Brennero","primary",0,"43.7282595,10.4170385","43.7247798,10.409756",712.303,710,49,52,"day"
77,74,"Via del Brennero","primary",0,"43.7231936,10.4033686","43.7244051,10.4084819",433.496,432,24,64,"day"
78,75,"Via San Zeno","tertiary",0,"43.7235612,10.4078944","43.7227183,10.406856",125.653,123,22,20,"day"
79,76,"Via Filippo Buonarroti","tertiary",0,"43.7227183,10.406856","43.719991,10.4073511",313.618,315,26,43,"day"
80,77,"Largo Bruno Pontecorvo","tertiary",0,"43.719991,10.4073511","43.7194857,10.4073934",56.289,57,29,7,"day"
81,78,"Via Filippo Buonarroti","tertiary",0,"43.7194857,10.4073934","43.7185484,10.407387",104.155,104,29,13,"day"
82,79,"Via Alberto Paparelli","secondary",0,"43.7244612,10.4099984","43.723107,10.4150306",432.512,428,36,43,"day"
83,80,"Via Mahatma Gandhi","secondary",0,"43.7246497,10.4160267","43.7233343,10.4156571",153.622,152,34,16,"day"
84,81,"Via Angelo Battelli","residential",0,"43.7228517,10.413959","43.7203783,10.4119035",321.072,321,25,46,"day"
85,82,"Via Giuseppe Moruzzi","secondary",0,"43.720509,10.42203","43.719849,10.4232674",123.775,124,37,12,"day"
86,83,"Via Alessandro Volpi","secondary",0,"43.7194789,10.4203308","43.7205091,10.4215981",158.606,156,15,37,"day"
87,84,"Via Giuseppe Garibaldi","tertiary",0,"43.7155623,10.4126274","43.7183882,10.4185568",581.647,580,27,78,"day"
88,85,"Ponte della Fortezza","tertiary",0,"43.7138628, 10.4084460","43.7131101,10.4078224",104.556,98,20,18,"day"
89,86,"Via Santa Marta","tertiary",0,"43.71401691, 10.4085360","43.7147794, 10.4089545",104.232,443,12,135,"day"
90,87,"Via Pasquale Landi","residential",0,"43.713176, 10.416209","43.7137486, 10.4149428",138.311,121,17,26,"day"
91,88,"Via Enrico Betti","residential",0,"43.7147767,10.4154706","43.71468606,10.4147375",59.941,61,31,7,"day"
92,89,"Largo Concetto Marchesi","residential",0,"43.7149967,10.4186284","43.7147767,10.4154706",255.747,258,23,41,"day"
93,90,"Via Guido De Ruggiero","tertiary",0,"43.7135666,10.4279586","43.7148018,10.4228048",440.926,440,33,48,"day"
95,92,"Via Guido De Ruggiero","tertiary",0,"43.7148018,10.4228048","43.7135666,10.4279586",440.926,440,32,50,"day"
1,95,"Via Manara Valgimigli","tertiary",0,"43.7148018, 10.4228048","43.7150819, 10.418705",98.545,330,17,70,"day"
2,96,"Via Manara Valgimigli","tertiary",0,"43.7149967,10.4186284","43.7148018,10.4228048",231.876,338,14,88,"day"
