highway,capacity,free_speed,alpha,beta,daytime,f1,f2,f3,f4
primary,1200,70,1.5,1,day,0.81,0.04,0.0,0.15
primary,1200,70,2,1,evening,0.87,0.01,0.0,0.12
primary,1200,70,4,1,night,0.90,0.01,0.0,0.09
secondary,1800,65,1.5,1,day,0.88,0.03,0.0,0.09
secondary,1800,65,2,1,evening,0.90,0.01,0.0,0.09
secondary,1800,65,4,1,night,0.93,0.02,0.0,0.05
tertiary,1500,50,1.5,1,day,0.86,0.03,0.0,0.11
tertiary,1500,50,2,1,evening,0.87,0.01,0.0,0.12
tertiary,1500,50,4,1,night,0.90,0.01,0.0,0.09
residential,400,40,4.5,1,day,0.85,0.03,0.0,0.12
residential,400,40,4,1,evening,0.86,0.01,0.0,0.13
residential,400,40,4,1,night,0.87,0.03,0.0,0.10
unclassified,1200,70,1.5,1,day,0.81,0.04,0.0,0.15
unclassified,1200,70,2,1,evening,0.87,0.01,0.0,0.12
unclassified,1200,70,4,1,night,0.90,0.01,0.0,0.09
secondary_dual_lane,4000,65,1.5,1,day,0.88,0.03,0.0,0.09
secondary_dual_lane,4000,65,1.5,1,evening,0.90,0.01,0.0,0.09
secondary_dual_lane,4000,65,1.5,1,night,0.93,0.02,0.0,0.05